,,,Weight Gurus,,,,,,,WHOOP,,,,,,,,,,,,,,,,,,,STRAVA,,,,,,,,,,,Stryd,,,,,Cycling,,,,,,,,,,,,,,,,,,,Garmin,,,,,,,,,,,,,,,LOSE IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,DAYS,WEEK NUMBER,Weight (pounds),Mass (kg),Body Fat %,Muscle Mass %,Water Weight %,BMI (my calculation),Post run weight (pounds),Recovery,Day Strain,Calories,HRV,RHR,Respiratory Rate,VO2 max,Sleep Performance,WHOOP Total Hours of Sleep,Light,REM,WHOOP Deep Sleep,WHOOP Awake,WHOOP Activity,WHOOP Avg HR (bpm),Max HR,WHOOP Duration,WHOOP Activity Calories Burned,WHOOP Activity Strain,Run type,Elevation (ft),Temperature (F),Humidity (%),Feels like,Distance (miles),Time,Average Pace (min/mile),GARMIN Average HR (bpm),Average Cadence (spm),Shoes,Average Power (W),Functional Threshold Power (rFTPw),Average Vertical Oscillation (cm),Average Ground Contact Time (ms),RSS,Cycling Distance (miles),Indoor Cycling Time,Outdoor Cycling Time,Cycling Elevation (ft),Calories,Average ZWIFT Power,Average GARMIN Power,Average Cycling HR,Average Cycling Cadence,Trainer Road TSS,Weekly TSS,Strava estimated FTP (W),zFTP (W),Normalized zFTP (W/kg),zMAP (W),zVO2 max,Zwift Racing Score,Zwift Pace Group,Garmin Avg Running Pwr,Max HR,Average Stride Length (m),Average GC Time Balance (right foot) %,Body Battery Maximum,Training Load,Running VO2 max,Cycling VO2 max,Endurance Score,Garmin HRV Overnight Avg,Garmin RHR,GARMIN Total hours of Sleep,Garmin Deep Sleep,Light Sleep,REM Sleep,Awake,LOSE IT budget,Calories required (low),Calories consumed,Calories required (high),Total Active Time (hrs),GARMIN Calories burned,Net calories,Carbs required (g),Carbs actual (g),Carbs %,Fat required (g),Fat actual (g),Protein required (g),Protein actual (g),Running speed (mph),Running METs (Metabolic EquivalenTs),Indoor Biking METs,Outdoor Biking METs,Calories Burned (MET calculation),Protein (g) / Pound of weight,Intraworkout carbs,Carbs per hour,Sodium (milligrams),Systolic,Diastolic,Heart rate,Temperature,Post workout carbs (grams - high),Post workout protein ideal (grams),Post workout protein - actual (grams),Runtypes,BMR calculation
8/2/2020,,,188.1,85.3,,,,23.51,,,,,,,,,,,,,,,,,,,,,Recovery,,,,,5.23,0:55:42,0:10:39,141,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107,50,,,,,10:29:00,0:48:00,,,,,3950,2723,4703,,772,195.1,432.6,524.2,,94.1,40.9,141.1,70.8,5.63,8.3,,,690,,,94.05,,,,,,141,0.0,,,
8/3/2020,,,186.5,84.6,16.6,,,23.31,,,,,,,,,,,,,,,,,,,,,Rest,,,,,0.00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107,50,,,,,6:19:00,1:34:00,,,,,3917,2472,4663,,0,247.2,429.0,356.4,,93.3,77.4,139.9,107.6,,,,,0,,,93.25,0,,,,,140,0.0,0,,
8/4/2020,,,187.6,85.1,17.0,,,23.45,,,,,,,,,,,,,,,,,,,,,Threshold,,,,,8.02,1:06:16,0:08:15,159,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,51,,,,,7:55:00,1:22:00,,,,,3940,3367,4690,,1205,216.2,431.5,556.5,,93.8,74.0,140.7,124.4,7.27,11.0,,,1085,,,93.80,124,,,,,141,31.0,11.8,,
8/5/2020,,,187.4,85.0,17.0,,,23.42,,,,,,,,,,,,,,,,,,,,,Medium long,,,,,10.04,1:34:16,0:09:23,150,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233,51,,,,,7:18:00,2:28:00,,,,,3935,2990,4685,,1697,129.3,431.0,495.8,,93.7,82.3,140.6,104.4,6.39,9.8,,,1374,,,93.70,124,,,,,141,31.0,11.8,,
8/6/2020,,,186.3,84.5,17.1,,,23.29,,,,,,,,,,,,,,,,,,,,,Recovery,,,,,5.03,0:48:53,0:09:42,142,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106,51,,,,,7:34:00,2:20:00,,,,,3912,3690,4658,,789,290.1,428.5,513.8,,93.2,115.8,139.7,148.4,6.19,9.8,,,708,,,93.15,,,,,,140,0.0,,,
8/7/2020,,,186.7,84.7,16.8,,,23.34,,,,,,,,,,,,,,,,,,,,,General aerobic,,,,,8.00,1:12:25,0:09:03,147,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,51,,,,,6:38:00,1:33:00,,,,,3921,3759,4668,,1251,250.8,429.4,575.8,,93.4,105.3,140.0,142.1,6.63,9.8,,,1052,,,93.35,124,,,,,140,31.0,11.8,,
8/8/2020,,,187.6,85.1,16.9,,,23.45,,,,,,,,,,,,,,,,,,,,,Recovery,,,,,5.07,0:57:44,0:11:22,124,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130,51,,,,,8:01:00,1:03:00,,,,,3940,3163,4690,,926,223.7,431.5,437.1,,93.8,120.8,140.7,97.4,5.28,8.3,,,714,,,93.80,,,,,,141,0.0,,,
8/9/2020,,,186.7,84.7,16.8,,,23.34,,,,,,,,,,,,,,,,,,,,,Medium long,,,,,14.00,2:11:21,0:09:23,148,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,50,,,,,7:54:00,1:07:00,,,,,3921,4093,4668,,2299,179.4,429.4,575.3,,93.4,132.7,140.0,163.8,6.39,9.8,,,1908,,,93.35,169,,,,,140,42.2,15.2,,
8/10/2020,,,186.3,84.5,16.8,,,23.29,,,,,,,,,,,,,,,,,,,,,Rest,,,,,0.00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,50,,,,,8:42:00,1:32:00,,,,,3912,2830,4658,,0,283.0,428.5,372.9,,93.2,104.5,139.7,110.9,,,,,0,,,93.15,,,,,,140,0.0,,,
8/11/2020,,,186.5,84.6,16.8,,,23.31,,,,,,,,,,,,,,,,,,,,,Threshold,,,,,8.01,1:04:30,0:08:03,162,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333,50,,,,,7:18:00,0:32:00,,,,,3917,3456,4663,,1285,217.1,429.0,595.9,,93.3,79.0,139.9,115.7,7.45,11.0,,,1050,,,93.25,178,,,,,140,44.5,10.8,,
